Name,Movement,Rarity,Type,Special Ability,Attack Wheel Size,Attack Name,Attack Type,Attack Value,Attack Ability,is Gen 1
Dialga,2,EX,Steel / Dragon,"Time Distortion - If there are other Pokémon on your bench, this Pokémon cannot enter the field using an MP move. This Pokémon is not knocked out in battle-if it would be, it moves to the bench instead.",8,Miss,Red,,,False
Dialga,2,EX,Steel / Dragon,"Time Distortion - If there are other Pokémon on your bench, this Pokémon cannot enter the field using an MP move. This Pokémon is not knocked out in battle-if it would be, it moves to the bench instead.",40,Roar of Time,White,Return the battle opponent to their start-of-the-duel state (excluding evolution),140,False
Dialga,2,EX,Steel / Dragon,"Time Distortion - If there are other Pokémon on your bench, this Pokémon cannot enter the field using an MP move. This Pokémon is not knocked out in battle-if it would be, it moves to the bench instead.",4,Miss,Red,,,False
Dialga,2,EX,Steel / Dragon,"Time Distortion - If there are other Pokémon on your bench, this Pokémon cannot enter the field using an MP move. This Pokémon is not knocked out in battle-if it would be, it moves to the bench instead.",44,Dragon Claw,White,,100,False
Tauros,2,C,Normal,None,8,Tackle,White,,30,True
Tauros,2,C,Normal,None,16,Miss,Red,,,True
Tauros,2,C,Normal,None,24,Take Down,White,,80,True
Tauros,2,C,Normal,None,12,Miss,Red,,,True
Tauros,2,C,Normal,None,8,Tackle,White,,30,True
Tauros,2,C,Normal,None,28,Kick Away,Purple,The battle opponent is knocked 2 steps back (the opponent chooses the point) and gains Wait,☆,True
Armaldo,1,R,Rock / Bug,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP",4,Miss,Red,,,False
Armaldo,1,R,Rock / Bug,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP",20,Aqua Jet,Gold,,40,False
Armaldo,1,R,Rock / Bug,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP",12,Protect,Blue,This Pokémon gains Wait.,,False
Armaldo,1,R,Rock / Bug,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP",20,Pierce Through,White,,130,False
Armaldo,1,R,Rock / Bug,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP",40,Iron Tail,White,,70,False
Charmander,3,UC,Fire,None,24,Flame Tail,White,,40,True
Charmander,3,UC,Fire,None,28,Smokescreen,Purple,The battle opponent now has Wait.,☆,True
Charmander,3,UC,Fire,None,32,Scratch,White,,10,True
Charmander,3,UC,Fire,None,12,Miss,Red,,,True
Mightyena,2,UC,Dark,None,24,Taunt,Purple,"If this Pokémon or the opponent Pokémon spins purple, they must respin for that turn.",☆☆,False
Mightyena,2,UC,Dark,None,28,Crunch,White,,60,False
Mightyena,2,UC,Dark,None,32,Ice Fang,White,"If this Pokémon is knocked out, the battle opponent becomes frozen",40,False
Mightyena,2,UC,Dark,None,12,Miss,Red,,,False
Ekans,3,C,Poison,None,24,Wrap,White,,20,True
Ekans,3,C,Poison,None,28,Spit Poison,Purple,The battle opponent becomes poisoned.,☆☆,True
Ekans,3,C,Poison,None,24,Wrap,White,,20,True
Ekans,3,C,Poison,None,20,Miss,Red,,,True
Bayleef,2,C,Grass,Spicy Scent - This Pokémon gains +20 damage in battles in your turn,12,Miss,Red,,,False
Bayleef,2,C,Grass,Spicy Scent - This Pokémon gains +20 damage in battles in your turn,28,Poison Powder,Purple,The battle opponent becomes poisoned.,☆,False
Bayleef,2,C,Grass,Spicy Scent - This Pokémon gains +20 damage in battles in your turn,56,Body Slam,White,,80,False
Snubbull,2,C,Fairy,None,32,Bite,White,,50,False
Snubbull,2,C,Fairy,None,28,Roar,Purple,The battle opponent is knocked 1 step back (the opponent chooses the point) and gains Wait.,☆☆,False
Snubbull,2,C,Fairy,None,32,Paw,White,,10,False
Snubbull,2,C,Fairy,None,4,Miss,Red,,,False
Plusle,3,C,Electric,"Plus - When Minun is adjacent to this Pokémon, the White Attacks of your Electric Pokémon gain the battle opponent becomes Paralyezed",48,Nuzzle,White,"If this Pokémon is knocked out, the battle opponent becomes paralyzed.",30,False
Plusle,3,C,Electric,"Plus - When Minun is adjacent to this Pokémon, the White Attacks of your Electric Pokémon gain the battle opponent becomes Paralyezed",32,Spark,White,,20,False
Plusle,3,C,Electric,"Plus - When Minun is adjacent to this Pokémon, the White Attacks of your Electric Pokémon gain the battle opponent becomes Paralyezed",16,Miss,Red,,,False
Seedot,2,C,Grass,None,24,Tackle,White,,10,False
Seedot,2,C,Grass,None,28,Explosion,Purple,This Pokémon and all neighbour Pokémon faint,☆☆,False
Seedot,2,C,Grass,None,40,Bullet Seed,White,Spin again until Bullet Seed does not land - damage is multiplied by the number of Bullet Seed spins,20x,False
Seedot,2,C,Grass,None,4,Miss,Red,,,False
Metagross,1,EX,Steel / Psychic,None,4,Miss,Red,,,False
Metagross,1,EX,Steel / Psychic,None,4,Dodge,Blue,,,False
Metagross,1,EX,Steel / Psychic,None,16,Metal Claw,White,,90,False
Metagross,1,EX,Steel / Psychic,None,4,Dodge,Blue,,,False
Metagross,1,EX,Steel / Psychic,None,24,Hyper Beam,White,"If the battle opponent is knocked out, the next turn will always be the other player's",160,False
Metagross,1,EX,Steel / Psychic,None,4,Dodge,Blue,,,False
Metagross,1,EX,Steel / Psychic,None,16,Metal Claw,White,,130,False
Metagross,1,EX,Steel / Psychic,None,4,Dodge,Blue,,,False
Metagross,1,EX,Steel / Psychic,None,20,Bullet Punch,Gold,,50,False
Sentret,2,C,Normal,None,8,Miss,Red,,,False
Sentret,2,C,Normal,None,12,Scratch,White,,20,False
Sentret,2,C,Normal,None,28,Step Away,Blue,This Pokémon moves 1-3 steps back.,,False
Sentret,2,C,Normal,None,12,Scratch,White,,20,False
Sentret,2,C,Normal,None,12,Miss,Red,,,False
Sentret,2,C,Normal,None,24,Tail Smack,White,,40,False
Golem,1,UC,Rock / Ground,None,24,Rock Throw,White,,40,True
Golem,1,UC,Rock / Ground,None,40,Rock Blast,White,Spin again until Rock Blast does not land - damage is multiplied by the number of Rock Blast spins,60x,True
Golem,1,UC,Rock / Ground,None,24,Rockwall,White,"If the battle opponent's Attack is below 120 damage, this Pokémon cannot be Knocked out.",30,True
Golem,1,UC,Rock / Ground,None,8,Miss,Red,,,True
Spinarak,3,UC,Bug / Poison,Sticky Web - Other Pokémon cannot use Fly Away to pass over this Pokémon,20,Scratch,White,,20,False
Spinarak,3,UC,Bug / Poison,Sticky Web - Other Pokémon cannot use Fly Away to pass over this Pokémon,16,Poison Sting,Purple,The battle opponent becomes poisoned.,☆,False
Spinarak,3,UC,Bug / Poison,Sticky Web - Other Pokémon cannot use Fly Away to pass over this Pokémon,20,Scratch,White,,20,False
Spinarak,3,UC,Bug / Poison,Sticky Web - Other Pokémon cannot use Fly Away to pass over this Pokémon,36,Constrict,Purple,The battle opponent now has Wait.,☆☆,False
Spinarak,3,UC,Bug / Poison,Sticky Web - Other Pokémon cannot use Fly Away to pass over this Pokémon,4,Miss,Red,,,False
Aipom,3,UC,Normal,"Run Off - Before using this Pokémon, you can switch its position with another one of your own Pokémon in an adjacent space.",20,Miss,Red,,,False
Aipom,3,UC,Normal,"Run Off - Before using this Pokémon, you can switch its position with another one of your own Pokémon in an adjacent space.",56,Scratch,White,,20,False
Aipom,3,UC,Normal,"Run Off - Before using this Pokémon, you can switch its position with another one of your own Pokémon in an adjacent space.",20,Tail Smack,White,,30,False
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",24,Slash,White,,40,True
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",16,Scratch,White,,10,True
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",28,Slash,White,,40,True
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",24,Defense Curl,White,"If the battle opponent's Attack is below 50 damage, this Pokémon cannot be Knocked out.",0,True
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",4,Miss,Red,,,True
Murkrow,3,R,Dark / Flying,None,28,Sucker Punch,Gold,,10,False
Murkrow,3,R,Dark / Flying,None,32,Whirlwind,Purple,The battle opponent is moved back to the bench and gains Wait,☆,False
Murkrow,3,R,Dark / Flying,None,28,Astonish,White,,30,False
Murkrow,3,R,Dark / Flying,None,8,Miss,Red,,,False
Caterpie,1,UC,Bug,None,8,Miss,Red,,,True
Caterpie,1,UC,Bug,None,52,String Wrap,Purple,Attaches an MP-1 marker to the battle opponent,☆,True
Caterpie,1,UC,Bug,None,4,Miss,Red,,,True
Caterpie,1,UC,Bug,None,32,Tackle,White,,10,True
Mudkip,3,UC,Water,None,48,Water Gun,White,,30,False
Mudkip,3,UC,Water,None,24,Take Down,White,,50,False
Mudkip,3,UC,Water,None,16,Dodge,Blue,,,False
Mudkip,3,UC,Water,None,8,Miss,Red,,,False
Bidoof,2,C,Normal,None,44,Cut,White,,50,False
Bidoof,2,C,Normal,None,48,Rock Smash,White,,20,False
