Name,Movement,Rarity,Type,Special Ability,Attack Wheel Size,Attack Name,Attack Type,Attack Ability,Attack Value,is Gen 1,Evolution,Evolved From,Num Evolutions
Tauros,2,C,Normal,None,8.0,Tackle,White,,30,True,,,0
Tauros,2,C,Normal,None,16.0,Miss,Red,,,True,,,0
Tauros,2,C,Normal,None,24.0,Take Down,White,,80,True,,,0
Tauros,2,C,Normal,None,12.0,Miss,Red,,,True,,,0
Tauros,2,C,Normal,None,8.0,Tackle,White,,30,True,,,0
Tauros,2,C,Normal,None,28.0,Kick Away,Purple,The battle opponent is knocked 2 steps back (the opponent chooses the point) and gains Wait,☆,True,,,0
Charmander,3,UC,Fire,None,24.0,Flame Tail,White,,40,True,Charmeleon,,0
Charmander,3,UC,Fire,None,28.0,Smokescreen,Purple,The battle opponent now has Wait.,☆,True,Charmeleon,,0
Charmander,3,UC,Fire,None,32.0,Scratch,White,,10,True,Charmeleon,,0
Charmander,3,UC,Fire,None,12.0,Miss,Red,,,True,Charmeleon,,0
Ekans,3,C,Poison,None,24.0,Wrap,White,,20,True,Arbok,,0
Ekans,3,C,Poison,None,28.0,Spit Poison,Purple,The battle opponent becomes poisoned.,☆☆,True,Arbok,,0
Ekans,3,C,Poison,None,24.0,Wrap,White,,20,True,Arbok,,0
Ekans,3,C,Poison,None,20.0,Miss,Red,,,True,Arbok,,0
Golem,1,UC,Rock / Ground,None,24.0,Rock Throw,White,,40,True,,Graveler,1
Golem,1,UC,Rock / Ground,None,40.0,Rock Blast,White,Spin again until Rock Blast does not land - damage is multiplied by the number of Rock Blast spins,60x,True,,Graveler,1
Golem,1,UC,Rock / Ground,None,24.0,Rockwall,White,"If the battle opponent's Attack is below 120 damage, this Pokémon cannot be Knocked out.",30,True,,Graveler,1
Golem,1,UC,Rock / Ground,None,8.0,Miss,Red,,,True,,Graveler,1
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",24.0,Slash,White,,40,True,Sandslash,,0
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",16.0,Scratch,White,,10,True,Sandslash,,0
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",28.0,Slash,White,,40,True,Sandslash,,0
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",24.0,Defense Curl,White,"If the battle opponent's Attack is below 50 damage, this Pokémon cannot be Knocked out.",0,True,Sandslash,,0
Sandshrew,2,C,Ground,"Sand Veil - If this Pokémon is to be attacked, it may slip past the attacking Pokémon",4.0,Miss,Red,,,True,Sandslash,,0
Caterpie,1,UC,Bug,None,8.0,Miss,Red,,,True,Metapod,,0
Caterpie,1,UC,Bug,None,52.0,String Wrap,Purple,Attaches an MP-1 marker to the battle opponent,☆,True,Metapod,,0
Caterpie,1,UC,Bug,None,4.0,Miss,Red,,,True,Metapod,,0
Caterpie,1,UC,Bug,None,32.0,Tackle,White,,10,True,Metapod,,0
Raticate,2,C,Normal,None,28.0,Hyper Fang,White,,70,True,,Rattata,1
Raticate,2,C,Normal,None,64.0,Tackle,White,,10,True,,Rattata,1
Raticate,2,C,Normal,None,4.0,Miss,Red,,,True,,Rattata,1
Machop,2,C,Fighting,None,8.0,Miss,Red,,,True,Machoke,,0
Machop,2,C,Fighting,None,56.0,Focus Punch,White,,40,True,Machoke,,0
Machop,2,C,Fighting,None,4.0,Miss,Red,,,True,Machoke,,0
Machop,2,C,Fighting,None,28.0,Dodge,Blue,,,True,Machoke,,0
Poliwag,3,C,Water,None,24.0,Bubble,White,,20,True,Poliwhirl,,0
Poliwag,3,C,Water,None,28.0,Hypnosis,Purple,The battle opponent falls asleep.,☆☆,True,Poliwhirl,,0
Poliwag,3,C,Water,None,24.0,Bubble,White,,20,True,Poliwhirl,,0
Poliwag,3,C,Water,None,16.0,Dodge,Blue,,,True,Poliwhirl,,0
Poliwag,3,C,Water,None,4.0,Miss,Red,,,True,Poliwhirl,,0
Doduo,3,C,Normal / Flying,None,16.0,Peck,White,,20,True,Dodrio,,0
Doduo,3,C,Normal / Flying,None,48.0,Fury Attack,White,Spin again until Fury Attack does not land - damage is multiplied by the number of Fury Attack spins,20x,True,Dodrio,,0
Doduo,3,C,Normal / Flying,None,16.0,Peck,White,,10,True,Dodrio,,0
Doduo,3,C,Normal / Flying,None,12.0,Dodge,Blue,,,True,Dodrio,,0
Doduo,3,C,Normal / Flying,None,4.0,Miss,Red,,,True,Dodrio,,0
Squirtle,3,UC,Water,None,12.0,Miss,Red,,,True,Wartortle,,0
Squirtle,3,UC,Water,None,44.0,Bubble,White,,30,True,Wartortle,,0
Squirtle,3,UC,Water,None,40.0,Withdraw,Blue,This Pokémon gains Wait.,,True,Wartortle,,0
Meowth,2,R,Normal,None,32.0,Fake Out,Purple,This Pokémon switches places with its battle opponent.,☆☆☆,True,Persian,,0
Meowth,2,R,Normal,None,36.0,Scratch,White,,40,True,Persian,,0
Meowth,2,R,Normal,None,20.0,Dodge,Blue,,,True,Persian,,0
Meowth,2,R,Normal,None,8.0,Miss,Red,,,True,Persian,,0
Zubat,3,C,Poison / Flying,None,32.0,Leech Life,White,,20,True,Golbat,,0
Zubat,3,C,Poison / Flying,None,12.0,Air Cutter,White,,40,True,Golbat,,0
Zubat,3,C,Poison / Flying,None,32.0,Supersonic,Purple,The battle opponent becomes confused,☆☆,True,Golbat,,0
Zubat,3,C,Poison / Flying,None,20.0,Miss,Red,,,True,Golbat,,0
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",4.0,Miss,Red,,,True,,Machoke,2
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",24.0,Karate Chop,White,,60,True,,Machoke,2
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",28.0,Submission,White,,80,True,,Machoke,2
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",24.0,Karate Chop,White,,60,True,,Machoke,2
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",4.0,Miss,Red,,,True,,Machoke,2
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",12.0,Dodge,Blue,,,True,,Machoke,2
Psyduck,2,UC,Water,"Migraine - If your opponent spins a Purple Attack, you can force them to respin once a turn.",24.0,Water Pulse,White,,60,True,Golduck,,0
Psyduck,2,UC,Water,"Migraine - If your opponent spins a Purple Attack, you can force them to respin once a turn.",32.0,Super Psy,White,"If this Pokémon is knocked out, the battle opponent becomes confused.",40,True,Golduck,,0
Psyduck,2,UC,Water,"Migraine - If your opponent spins a Purple Attack, you can force them to respin once a turn.",28.0,Disable,Purple,The battle opponent now has Wait.,☆☆,True,Golduck,,0
Psyduck,2,UC,Water,"Migraine - If your opponent spins a Purple Attack, you can force them to respin once a turn.",12.0,Miss,Red,,,True,Golduck,,0
Charizard,2,EX,Fire / Flying,None,8.0,Miss,Red,,,True,,Charmeleon,2
Charizard,2,EX,Fire / Flying,None,56.0,Fire Spin,White,Spin again until Fire Spin does not land - damage is multiplied by the number of Fire Spin spins,60x,True,,Charmeleon,2
Charizard,2,EX,Fire / Flying,None,4.0,Miss,Red,,,True,,Charmeleon,2
Charizard,2,EX,Fire / Flying,None,28.0,Dragon Tail,White,Benches your battle opponent (except when opponent has fainted). Your battle opponent must then Wait.,100,True,,Charmeleon,2
Pikachu,2,UC,Electric,None,24.0,Thunder Shock,White,,40,True,Raichu,,0
Pikachu,2,UC,Electric,None,12.0,Miss,Red,,,True,Raichu,,0
Pikachu,2,UC,Electric,None,24.0,Thunderbolt,White,,100,True,Raichu,,0
Pikachu,2,UC,Electric,None,8.0,Miss,Red,,,True,Raichu,,0
Pikachu,2,UC,Electric,None,24.0,Thunder Shock,White,,40,True,Raichu,,0
Pikachu,2,UC,Electric,None,4.0,Dodge,Blue,,,True,Raichu,,0
Dratini,2,R,Dragon,None,20.0,Dragon Rage,White,,80,True,Dragonair,,0
Dratini,2,R,Dragon,None,24.0,Push Aside,Purple,The battle opponent is moved to the bench and gains Wait.,☆☆,True,Dragonair,,0
Dratini,2,R,Dragon,None,8.0,Miss,Red,,,True,Dragonair,,0
Dratini,2,R,Dragon,None,44.0,Freeze Tail,White,"If this Pokémon is knocked out, the battle opponent becomes frozen.",30,True,Dragonair,,0
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",8.0,Dodge,Blue,,,True,,,0
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",24.0,Tackle,White,,30,True,,,0
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",28.0,Focus Energy,White,"Spin again until an attack other than Focus Energy is spun. Damage attacks deal x2 damage,",0,True,,,0
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",16.0,Quick Attack,Gold,,20,True,,,0
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",12.0,Dodge,Blue,,,True,,,0
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",8.0,Miss,Red,,,True,,,0
Pinsir,2,R,Bug,None,8.0,Miss,Red,,,True,,,0
Pinsir,2,R,Bug,None,20.0,Guillotine,Purple,The battle opponent is knocked out,☆,True,,,0
Pinsir,2,R,Bug,None,8.0,Miss,Red,,,True,,,0
Pinsir,2,R,Bug,None,28.0,Scissor Toss,Purple,The battle opponent is knocked back 1 step and gains Wait.,☆,True,,,0
Pinsir,2,R,Bug,None,32.0,Vice Grip,White,,110,True,,,0
Kabuto,2,UC,Rock / Water,"Battle Armor - If your battle opponent spins an Attack with 10 or more damage, you can force them top spin again once per turn",4.0,Miss,Red,,,True,Kabutops,,0
Kabuto,2,UC,Rock / Water,"Battle Armor - If your battle opponent spins an Attack with 10 or more damage, you can force them top spin again once per turn",16.0,Protect,Blue,This Pokémon gains Wait.,,True,Kabutops,,0
Kabuto,2,UC,Rock / Water,"Battle Armor - If your battle opponent spins an Attack with 10 or more damage, you can force them top spin again once per turn",40.0,Mud Shot,White,Attach MP -1 to battle opponent,40,True,Kabutops,,0
Kabuto,2,UC,Rock / Water,"Battle Armor - If your battle opponent spins an Attack with 10 or more damage, you can force them top spin again once per turn",16.0,Protect,Blue,This Pokémon gains Wait.,,True,Kabutops,,0
Kabuto,2,UC,Rock / Water,"Battle Armor - If your battle opponent spins an Attack with 10 or more damage, you can force them top spin again once per turn",20.0,Aqua Jet,Gold,,30,True,Kabutops,,0
Geodude,2,C,Rock / Ground,None,24.0,Self-Destruct,Purple,This Pokémon and the battle opponent are knocked out,☆☆☆,True,Graveler,,0
Geodude,2,C,Rock / Ground,None,40.0,Rollout,White,Spin again until Rollout does not land - damage is multiplied by the number of Rollout spins,30x,True,Graveler,,0
Geodude,2,C,Rock / Ground,None,24.0,Rock Throw,White,,40,True,Graveler,,0
Geodude,2,C,Rock / Ground,None,8.0,Miss,Red,,,True,Graveler,,0
Bulbasaur,3,UC,Grass / Poison,"Healing Seed - When this Pokémon is on the field, your Grass-type and Poison-type Pokémon cannot become poisoned or noxious.",24.0,Poison Powder,Purple,The battle opponent becomes poisoned,☆,True,Ivysaur,,0
Bulbasaur,3,UC,Grass / Poison,"Healing Seed - When this Pokémon is on the field, your Grass-type and Poison-type Pokémon cannot become poisoned or noxious.",20.0,Seed Bomb,White,,50,True,Ivysaur,,0
Bulbasaur,3,UC,Grass / Poison,"Healing Seed - When this Pokémon is on the field, your Grass-type and Poison-type Pokémon cannot become poisoned or noxious.",24.0,Sleep Powder,Purple,The battle opponent falls asleep.,☆,True,Ivysaur,,0
Bulbasaur,3,UC,Grass / Poison,"Healing Seed - When this Pokémon is on the field, your Grass-type and Poison-type Pokémon cannot become poisoned or noxious.",28.0,Miss,Red,,,True,Ivysaur,,0
Magnemite,3,C,Electric / Steel,None,8.0,Miss,Red,,,True,Magneton,,0
Magnemite,3,C,Electric / Steel,None,40.0,Thunder Wave,Purple,The battle opponent becomes paralyzed.,☆☆,True,Magneton,,0
Magnemite,3,C,Electric / Steel,None,8.0,Dodge,Blue,,,True,Magneton,,0
Magnemite,3,C,Electric / Steel,None,40.0,Spark,White,,20,True,Magneton,,0
Drowzee,1,C,Psychic,Insomnia - This Pokémon can't be Asleep,4.0,Miss,Red,,,True,Hypno,,0
Drowzee,1,C,Psychic,Insomnia - This Pokémon can't be Asleep,40.0,Hypnosis,Purple,The battle opponent falls asleep.,☆☆,True,Hypno,,0
Drowzee,1,C,Psychic,Insomnia - This Pokémon can't be Asleep,52.0,Confusion,White,,20,True,Hypno,,0
Exeggcute,2,C,Grass / Psychic,None,12.0,Barrage,White,,90,True,Exeggutor,,0
Exeggcute,2,C,Grass / Psychic,None,20.0,Miss,Red,,,True,Exeggutor,,0
Exeggcute,2,C,Grass / Psychic,None,16.0,Barrage,White,,10,True,Exeggutor,,0
Exeggcute,2,C,Grass / Psychic,None,16.0,Barrage,White,,30,True,Exeggutor,,0
Exeggcute,2,C,Grass / Psychic,None,16.0,Barrage,White,,50,True,Exeggutor,,0
Exeggcute,2,C,Grass / Psychic,None,16.0,Barrage,White,,70,True,Exeggutor,,0
Scyther,2,UC,Bug / Flying,None,24.0,False Swipe,White,,20,True,,,0
Scyther,2,UC,Bug / Flying,None,32.0,Slash,White,,50,True,,,0
Scyther,2,UC,Bug / Flying,None,36.0,Swords Dance,White,Spin again until an attack other than Swords Dance is spun. Damage Attacks deal x2 damage,0,True,,,0
Scyther,2,UC,Bug / Flying,None,4.0,Miss,Red,,,True,,,0
Spearow,2,C,Normal / Flying,None,20.0,Miss,Red,,,True,Fearow,,0
Spearow,2,C,Normal / Flying,None,16.0,Peck,White,,40,True,Fearow,,0
Spearow,2,C,Normal / Flying,None,16.0,Miss,Red,,,True,Fearow,,0
Spearow,2,C,Normal / Flying,None,44.0,Fly Away,Purple,This Pokémon jumps over the battle opponent and lands on a surrounding point.,☆☆☆,True,Fearow,,0
Nidoran♂,2,C,Poison,None,28.0,Poison Kick,White,"If this Pokémon is knocked out, the battle opponent becomes poisoned",40,True,Nidorano,,0
Nidoran♂,2,C,Poison,None,16.0,Horn Attack,White,,70,True,Nidorano,,0
Nidoran♂,2,C,Poison,None,24.0,Poison Sting,Purple,The battle opponent becomes poisoned,☆,True,Nidorano,,0
Nidoran♂,2,C,Poison,None,28.0,Miss,Red,,,True,Nidorano,,0
Beedrill,3,C,Bug / Poison,None,16.0,Miss,Red,,,True,,Kakuna,2
Beedrill,3,C,Bug / Poison,None,44.0,Pin Missile,White,Spin again until Pin Missile does not land - damage is multiplied by the number of Pin Missile spins,40x,True,,Kakuna,2
Beedrill,3,C,Bug / Poison,None,12.0,Miss,Red,,,True,,Kakuna,2
Beedrill,3,C,Bug / Poison,None,24.0,Toxic,Purple,The battle opponent becomes noxious.,☆,True,,Kakuna,2
Rhyhorn,1,C,Ground / Rock,Onslaught - This Pokémon can move up to 2 steps in a straight line.,12.0,Miss,Red,,,True,Rhydon,,0
Rhyhorn,1,C,Ground / Rock,Onslaught - This Pokémon can move up to 2 steps in a straight line.,24.0,Hyper Take Down,White,"If the battle opponent is knocked out, this Pokémon claims its previous spot and gains Wait.",90,True,Rhydon,,0
Rhyhorn,1,C,Ground / Rock,Onslaught - This Pokémon can move up to 2 steps in a straight line.,12.0,Miss,Red,,,True,Rhydon,,0
Rhyhorn,1,C,Ground / Rock,Onslaught - This Pokémon can move up to 2 steps in a straight line.,48.0,Stomp,White,,70,True,Rhydon,,0
Mankey,3,C,Fighting,None,12.0,Miss,Red,,,True,Primeape,,0
Mankey,3,C,Fighting,None,28.0,Scratch,White,,20,True,Primeape,,0
Mankey,3,C,Fighting,None,28.0,Thrash,White,"This Pokémon becomes confused,",50,True,Primeape,,0
Mankey,3,C,Fighting,None,28.0,Tease,Purple,Switch this Pokémon with the adjacent opponent Pokémon.,☆,True,Primeape,,0
Weedle,1,C,Bug / Poison,None,60.0,Poison Sting,Purple,The battle opponent becomes poisoned,☆,True,Kakuna,,0
Weedle,1,C,Bug / Poison,None,32.0,Tackle,White,,10,True,Kakuna,,0
Weedle,1,C,Bug / Poison,None,4.0,Miss,Red,,,True,Kakuna,,0
Venusaur,1,EX,Grass / Poison,"Chemical Pollen - When this Pokémon is on the field, all poisoned and noxious Pokémon have MP-1. This effect does not stack",20.0,Protect,Blue,,,True,,Ivysaur,2
Venusaur,1,EX,Grass / Poison,"Chemical Pollen - When this Pokémon is on the field, all poisoned and noxious Pokémon have MP-1. This effect does not stack",36.0,Solar Beam,White,,150,True,,Ivysaur,2
Venusaur,1,EX,Grass / Poison,"Chemical Pollen - When this Pokémon is on the field, all poisoned and noxious Pokémon have MP-1. This effect does not stack",32.0,Sleep Powder,Purple,The battle opponent falls asleep.,☆,True,,Ivysaur,2
Venusaur,1,EX,Grass / Poison,"Chemical Pollen - When this Pokémon is on the field, all poisoned and noxious Pokémon have MP-1. This effect does not stack",8.0,Miss,Red,,,True,,Ivysaur,2
Mewtwo,2,EX,Psychic,Rapid Approach - All the Blue Attacks of htis Pokémon's battle opponents become misses,32.0,Psychic Shove,Purple,The battle opponent is knocked as far back as possible in a straight line. Any Pokémon it collides with are also knocked back. All affected Pokémon gain Wait.,☆☆,True,,,0
